"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive","category_senti","sent.value"
"491","Not cool<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+393C><U+3E34> security privacy",FALSE,0,NA,2018-12-11 20:50:28,FALSE,NA,"1072594490148487173",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","WolfgangBremer",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,1,"Positive",0.75
"495","Thank you for the feedback So happy you like it Keep the feedback comin and keep on rollingJenny",FALSE,1,"THEalexspartz",2018-12-11 20:49:35,FALSE,"1071970718928138242","1072594264448749580","1110304807","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jennylayfluffy",0,FALSE,FALSE,NA,NA,0,1,0,0,1,0,0,1,0,1,"Positive",1.75
"496","Ive seen quite a few",FALSE,0,"SeanLeith",2018-12-11 20:49:33,FALSE,"1071101191394942979","1072594259512094720","221797081","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","InputMapper",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Neutral",0
"501","u snapped <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E39><U+383C><U+3E63>",FALSE,4,"Jadenbanson",2018-12-11 20:47:22,FALSE,"1072583311896338438","1072593707436859393","1849975478","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","YoungCJ___",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Neutral",0
"502","You guys should team up withand do a TMobileMetro by TMobile custom Xbox One X…",FALSE,0,"TMobileHelp",2018-12-11 20:47:05,TRUE,"1072592427322609664","1072593635638763525","185728888","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dricketts21",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,1,0,0,"Neutral",0
"503","Congratulations Jaden <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E31><U+383C><U+3E66><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E39><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E39><U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E63><U+653C><U+3E64><U+623C><U+3E65><U+383C><U+3E39>",FALSE,2,"Jadenbanson",2018-12-11 20:47:04,FALSE,"1072583311896338438","1072593634174910464","1849975478","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","paarthmadan_",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Positive",0.75
"508","Nintexsshares inthe competitive advantage of offering customers blended solutions th…",FALSE,1,NA,2018-12-11 20:45:30,TRUE,NA,"1072593240342302720",NA,"<a href=""https://www.lithium.com"" rel=""nofollow"">Lithium Tech.</a>","Nintex",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,1,0,1,"Positive",1.75
"510","has the shittiest web browser on the Xbox <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E32> they need to retire because this crappy browser stay crashin…",FALSE,0,"Microsoft",2018-12-11 20:45:06,TRUE,NA,"1072593138043244549","74286565","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GameWithJohn",1,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Negative",-1
"519","…",FALSE,0,"samirsinh189",2018-12-11 20:41:15,TRUE,"1072543581850755073","1072592168521469952","3308598001","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","KittenCalfee",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,0,"Neutral",0
"520","Dear 

Rebranding Internet Explorer as “Microsoft Edge” doesn’t make it any less of a crappy product Yo…",FALSE,2,NA,2018-12-11 20:40:58,TRUE,NA,"1072592096413011970",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JenFarruggio",0,FALSE,FALSE,NA,NA,0,0,0,0,0,0,0,0,0,1,"Positive",0.1
